construction,mean_ann,vol_ann,sharpe,hhi,eff_n,n_long,n_short,anomaly
B0_EW,6.469994844005407,21.210825360341293,0.30503267713959914,0.05361718596631664,18.650736363303725,40.10518873055586,40.10584140106603,mom_252_21
B1_VW,5.1789566594084055,29.093256176368808,0.17801227294781283,0.3741931144949001,2.672416891876371,40.10518873055586,40.10584140106603,mom_252_21
B1_VW_cap10,5.755199731660851,24.810827188739008,0.23196323475555009,0.12531713079016277,7.979754991952774,40.10518873055586,40.10584140106603,mom_252_21
B4_VW_ex20_trim10,5.308075360088235,23.691656042711372,0.22404830420122698,0.4050409132514813,2.4688863946421167,25.644403350375285,25.644512128793647,mom_252_21
B4_VW_ex20_trim10_cap10,4.578983094350553,20.986139934457107,0.21819082063930814,0.13784974634813807,7.254275227133974,25.644403350375285,25.644512128793647,mom_252_21
B0_EW,6.7022396272755165,19.701563387140293,0.34018821225376644,0.05443593273191935,18.370218894286246,40.74480583052323,40.7454585010334,mom_126_21
B1_VW,-0.39378323219845096,28.69788685041874,-0.013721680423752356,0.3808364971331093,2.6257987549194417,40.74480583052323,40.7454585010334,mom_126_21
B1_VW_cap10,3.5589316321337843,23.518205365305782,0.15132666701618078,0.1269677412173725,7.876016304708222,40.74480583052323,40.7454585010334,mom_126_21
B4_VW_ex20_trim10,4.826783000036896,23.388542952965036,0.20637382199240376,0.4238688905308682,2.359220085124825,26.04895028826281,26.048623953007723,mom_126_21
B4_VW_ex20_trim10_cap10,6.029873288976335,19.612858009976083,0.30744490608708014,0.13963061073293379,7.161753391687603,26.04895028826281,26.048623953007723,mom_126_21
B0_EW,20.025556217120023,20.350602696640514,0.984027673068663,0.0551415165263363,18.13515592235094,41.90351354291309,41.90275209398455,rev_21
B1_VW,15.133208443169973,28.933118220823317,0.5230410468609126,0.3826894223958989,2.6130850279041224,41.90351354291309,41.90275209398455,rev_21
B1_VW_cap10,14.818087306755782,23.0589710278008,0.642617022628222,0.1279430131640159,7.815979749656631,41.90351354291309,41.90275209398455,rev_21
B4_VW_ex20_trim10,4.166427519563626,22.237144647761202,0.18736342212816856,0.4197199817644573,2.3825408449607486,26.788317197867944,26.788317197867944,rev_21
B4_VW_ex20_trim10_cap10,4.716906472616907,17.46534045099333,0.2700724034468298,0.1412328221656569,7.080507099313395,26.788317197867944,26.788317197867944,rev_21
B0_EW,23.788016812801594,19.183696309956023,1.2400121659795045,0.054860585802669865,18.2280226390024,41.95714130316545,41.956597411073645,rev_5
B1_VW,13.143539194858093,26.388440247789767,0.4980794268793118,0.3814350120504077,2.6216785780216925,41.95714130316545,41.956597411073645,rev_5
B1_VW_cap10,17.255395514369404,22.442686136763957,0.7688649838622875,0.12816632748998683,7.802361350161386,41.95714130316545,41.956597411073645,rev_5
B4_VW_ex20_trim10,6.612346575180315,23.36366132745075,0.28301842260533233,0.4166708835237041,2.3999757111492785,26.827259871641466,26.827368650059828,rev_5
B4_VW_ex20_trim10_cap10,4.618457538227726,16.991925279422997,0.27180307482993815,0.14079325292628275,7.102613081349751,26.827259871641466,26.827368650059828,rev_5
B0_EW,-6.998020949573763,28.051258215002246,-0.24947262243770277,0.054266669975944926,18.42751730377551,41.12389861851409,41.12291961274883,lowvol_21
B1_VW,-18.967858065264554,34.731374330466096,-0.5461303628467732,0.3373051024420652,2.9646749864145856,41.12389861851409,41.12291961274883,lowvol_21
B1_VW_cap10,-20.155673169659995,30.641626904909437,-0.6577873045778333,0.11829284220280191,8.453596865020746,41.12389861851409,41.12291961274883,lowvol_21
B4_VW_ex20_trim10,-11.935713304167853,27.539019635953686,-0.43341097330077544,0.3994048163683424,2.503725441001622,26.28630479712825,26.28630479712825,lowvol_21
B4_VW_ex20_trim10_cap10,-9.884797603421209,22.989581437931545,-0.42996857642270236,0.13560052122683913,7.374602921526765,26.28630479712825,26.28630479712825,lowvol_21
